label,area,peri,verts,circularity,solidity
CUBE,9771.5,392.72792184352875,4,0.7961365113887869,0.9954158814241328
CLOVER,8233.0,391.3380935192108,8,0.6755596928711585,0.9447472603132709
CUBE,9164.0,386.97056245803833,4,0.7690225718237321,0.9843708040174016
PENTAGON,9604.5,417.92387998104095,6,0.6910194163671106,0.9478436790683904
SPHERE,8383.5,344.69343197345734,7,0.8866847035947919,0.9937177739583951
SPHERE,9132.0,394.73506212234497,9,0.736485767704365,0.9755368016237581
CLOVER,10124.5,429.0365778207779,4,0.6911858028585751,0.9543312282024696
PENTAGON,8581.5,383.63960921764374,7,0.7326999990316778,0.9540830507532381
PENTAGON,8659.0,391.8822498321533,8,0.7085433367973546,0.9463387978142076
PENTAGON,8608.5,389.2964633703232,7,0.7137998152224636,0.941642966528112
PENTAGON,8672.5,388.1248904466629,8,0.7234544338670984,0.9509320175438597
PENTAGON,9280.5,370.811182141304,7,0.8481557187347719,0.9942150088381809
PENTAGON,9356.0,371.39696860313416,6,0.8523606028310501,0.9968037502663541
CUBE,9568.0,390.48528122901917,4,0.7885363056075494,0.998018149577553
SPHERE,8143.5,423.92387998104095,8,0.5694363696417972,0.95524926686217
SPHERE,8177.0,422.5096664428711,8,0.5756129590429565,0.9549781021897811
PENTAGON,8697.5,387.63960921764374,7,0.7273576439352449,0.9624854755712942
PENTAGON,9134.0,368.56854152679443,6,0.8449564843079533,0.9944474686989657
SPHERE,8356.0,344.99494767189026,7,0.8822320385281864,0.9961850262279447
CLOVER,8565.5,394.7523070573807,6,0.6907378107047597,0.9508242215685186
CLOVER,8654.5,397.92387998104095,9,0.6868340877377287,0.9556119913874013
CUBE,8891.0,381.3137083053589,4,0.7684146518002894,0.9803726982026685
CLOVER,10646.0,456.16652059555054,5,0.6429090066678125,0.9549695012558307
PENTAGON,8922.0,366.99494767189026,5,0.8324380284997376,0.9947597279518341
CUBE,11082.5,417.2132030725479,4,0.800076504392823,0.9955086458567258
SPHERE,9028.5,433.8061298131943,11,0.6028844710126179,0.9577278031187016
SPHERE,9082.5,389.3208485841751,9,0.7530086202581642,0.9662748018511623
SPHERE,9119.0,409.5634891986847,9,0.6831477011993694,0.963953488372093
SPHERE,8996.5,390.14927566051483,8,0.7427143900113128,0.9648755898755899
SPHERE,9017.5,390.97770273685455,8,0.7412966440274027,0.9657295850066935
PENTAGON,9140.5,367.9827550649643,6,0.8482519833511453,0.9946137105549511
PENTAGON,8424.0,373.39696860313416,6,0.759253227135735,0.9642305270989526
SPHERE,8996.0,403.5634891986847,9,0.6941216240406687,0.9568685848002978
